date,session_key,driver_number,position,meeting_key
2025-06-29T14:10:10.568000+00:00,9955,27,9,1264
2025-06-29T14:10:11.333000+00:00,9955,14,9,1264
2025-06-29T14:10:11.333000+00:00,9955,27,10,1264
2025-06-29T14:10:15.021000+00:00,9955,6,10,1264
2025-06-29T14:10:15.021000+00:00,9955,27,11,1264
2025-06-29T14:13:30.573000+00:00,9955,63,6,1264
2025-06-29T14:13:30.573000+00:00,9955,5,5,1264
2025-06-29T14:13:36.981000+00:00,9955,63,7,1264
2025-06-29T14:13:36.981000+00:00,9955,31,6,1264
2025-06-29T14:13:41.216000+00:00,9955,63,8,1264
2025-06-29T14:13:41.216000+00:00,9955,30,7,1264
2025-06-29T14:13:42.076000+00:00,9955,63,9,1264
2025-06-29T14:13:42.076000+00:00,9955,14,8,1264
2025-06-29T14:13:51.779000+00:00,9955,63,10,1264
2025-06-29T14:13:51.779000+00:00,9955,6,9,1264
2025-06-29T14:14:21.873000+00:00,9955,63,9,1264
2025-06-29T14:14:21.873000+00:00,9955,6,10,1264
2025-06-29T14:16:42.106000+00:00,9955,87,12,1264
2025-06-29T14:16:42.106000+00:00,9955,18,13,1264
2025-06-29T14:17:47.521000+00:00,9955,16,4,1264
2025-06-29T14:17:47.521000+00:00,9955,44,3,1264
