date,session_key,meeting_key,position,driver_number
2025-09-21T11:45:26.527000+00:00,9904,1269,15,14
2025-09-21T11:45:26.527000+00:00,9904,1269,14,87
2025-09-21T11:45:28.074000+00:00,9904,1269,16,14
2025-09-21T11:45:28.074000+00:00,9904,1269,15,31
2025-09-21T11:45:31.452000+00:00,9904,1269,17,14
2025-09-21T11:45:31.452000+00:00,9904,1269,16,10
2025-09-21T11:47:24.223000+00:00,9904,1269,18,14
2025-09-21T11:47:24.223000+00:00,9904,1269,17,23
2025-09-21T11:52:16.208000+00:00,9904,1269,8,12
2025-09-21T11:52:16.208000+00:00,9904,1269,9,5
2025-09-21T11:54:04.169000+00:00,9904,1269,9,30
2025-09-21T11:54:04.169000+00:00,9904,1269,10,5
2025-09-21T11:54:05.294000+00:00,9904,1269,10,16
2025-09-21T11:54:05.294000+00:00,9904,1269,11,5
2025-09-21T11:54:21.314000+00:00,9904,1269,12,5
2025-09-21T11:54:21.314000+00:00,9904,1269,11,18
2025-09-21T11:54:22.049000+00:00,9904,1269,13,5
2025-09-21T11:54:22.049000+00:00,9904,1269,12,27
2025-09-21T11:54:22.534000+00:00,9904,1269,14,5
2025-09-21T11:54:22.534000+00:00,9904,1269,13,87
2025-09-21T11:54:23.753000+00:00,9904,1269,15,5
2025-09-21T11:54:23.753000+00:00,9904,1269,14,31
2025-09-21T11:54:32.519000+00:00,9904,1269,16,5
2025-09-21T11:54:32.519000+00:00,9904,1269,15,10
2025-09-21T11:55:25.568000+00:00,9904,1269,3,55
2025-09-21T11:55:25.568000+00:00,9904,1269,2,63
2025-09-21T11:55:34.260000+00:00,9904,1269,4,55
2025-09-21T11:55:34.260000+00:00,9904,1269,3,22
2025-09-21T11:55:36.663000+00:00,9904,1269,5,55
2025-09-21T11:55:36.663000+00:00,9904,1269,4,4
2025-09-21T11:55:41.964000+00:00,9904,1269,6,55
2025-09-21T11:55:41.964000+00:00,9904,1269,5,44
2025-09-21T11:57:53.516000+00:00,9904,1269,14,87
2025-09-21T11:57:53.516000+00:00,9904,1269,13,31
2025-09-21T11:57:54.161000+00:00,9904,1269,15,5
2025-09-21T11:57:54.161000+00:00,9904,1269,16,10
2025-09-21T11:58:01.799000+00:00,9904,1269,14,5
2025-09-21T11:58:01.799000+00:00,9904,1269,15,87
2025-09-21T11:58:02.251000+00:00,9904,1269,16,87
2025-09-21T11:58:02.251000+00:00,9904,1269,15,10
2025-09-21T11:58:02.807000+00:00,9904,1269,17,87
2025-09-21T11:58:02.807000+00:00,9904,1269,16,23
2025-09-21T11:58:07.995000+00:00,9904,1269,17,14
2025-09-21T11:58:07.995000+00:00,9904,1269,18,87
2025-09-21T11:59:18.034000+00:00,9904,1269,7,12
2025-09-21T11:59:18.034000+00:00,9904,1269,8,6
2025-09-21T11:59:25.798000+00:00,9904,1269,8,30
2025-09-21T11:59:25.798000+00:00,9904,1269,9,6
2025-09-21T11:59:26.505000+00:00,9904,1269,10,6
2025-09-21T11:59:26.505000+00:00,9904,1269,9,16
2025-09-21T11:59:45.965000+00:00,9904,1269,16,10
2025-09-21T11:59:45.965000+00:00,9904,1269,15,23
2025-09-21T12:05:00.302000+00:00,9904,1269,13,5
2025-09-21T12:05:00.302000+00:00,9904,1269,14,31
2025-09-21T12:05:00.579000+00:00,9904,1269,14,5
2025-09-21T12:05:00.579000+00:00,9904,1269,13,31
2025-09-21T12:06:50.912000+00:00,9904,1269,13,5
2025-09-21T12:06:50.912000+00:00,9904,1269,14,31
2025-09-21T12:08:37.996000+00:00,9904,1269,12,5
2025-09-21T12:08:37.996000+00:00,9904,1269,13,27
2025-09-21T12:08:38.785000+00:00,9904,1269,14,23
2025-09-21T12:08:38.785000+00:00,9904,1269,15,31
2025-09-21T12:10:25.071000+00:00,9904,1269,14,27
2025-09-21T12:10:25.071000+00:00,9904,1269,13,23
2025-09-21T12:10:25.099000+00:00,9904,1269,13,27
2025-09-21T12:10:25.099000+00:00,9904,1269,14,23
2025-09-21T12:10:28.609000+00:00,9904,1269,16,14
2025-09-21T12:10:28.609000+00:00,9904,1269,17,10
2025-09-21T12:10:28.930000+00:00,9904,1269,17,87
2025-09-21T12:10:28.930000+00:00,9904,1269,18,10
2025-09-21T12:10:30.745000+00:00,9904,1269,14,27
